Date,Monitoring_Station,Season,Split,Year,Latitude,Longitude,PM2.5,AOD,AOD_dry,AOD_corrected,f_RH,Temp_norm,RH_squared,Wind Speed,Wind_U,Wind_V,AODcorr_Wind_interact,DOY_sin,DOY_cos,Is_Dust_Season,PM2.5_lag1,AOD_lag1,AOD_corrected_lag1,RH_rolling3,Station_ID,Season_ID
2016-10-12,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,20.89333333333333,0.513133333,0.176267088412475,0.1834286839298372,2.6160925058479334,1.0693253939850542,7779.240000000001,0.3833333333333333,-0.2879146583568259,0.2530802124776186,0.0703143288397709,-0.9778483415056568,0.2093146459630488,0,31.7725,0.404878788,0.1469715661555598,85.48628623188405,4,4
2016-10-14,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,46.39869565217391,0.241889535,0.0783313860701988,0.0834240159722218,2.7587550514770487,1.051024514057726,8012.636844444445,0.3679166666666666,-0.3509655135212534,0.1103896821712696,0.0306930858764466,-0.970063921851507,0.2428497220959358,0,20.89333333333333,0.513133333,0.1834286839298372,88.55652777777777,4,4
2016-10-15,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,61.5125,0.322494186,0.1502787727261429,0.1448935755151257,1.9882080360659715,1.1194660701124788,6128.606462673611,0.3916666666666666,0.060313486632785,-0.3869949109587548,0.0567499837434242,-0.965739937654855,0.2595117970697994,0,46.39869565217391,0.241889535,0.0834240159722218,85.33291666666666,4,4
2016-10-16,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,63.87863636363636,0.232633721,0.12135849651322,0.1134706206378194,1.7961484668057224,1.1414240136307272,5297.777534027778,0.40375,0.2437863650263352,-0.321841996525075,0.0458137630825195,-0.9611297838723007,0.2760969730974688,0,61.5125,0.322494186,0.1448935755151257,80.19486111111111,4,4
2016-10-17,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,49.32791666666666,0.462415584,0.241216331416584,0.2238455379931411,1.796235099186745,1.1500609084943896,5298.202126562501,0.4366666666666667,0.1168195472171937,-0.4207504856393486,0.0977458849236716,-0.9562348265919058,0.2926003356333479,0,63.87863636363636,0.232633721,0.1134706206378194,74.62,4,4
2016-10-18,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,64.69608695652174,0.348244186,0.1597089753321348,0.1494090417738635,2.0169684090318776,1.1556009707853152,6235.86605625,0.4175,-0.19500373505186,-0.3691609314591997,0.062378274940588,-0.9510565162951536,0.3090169943749472,0,49.32791666666666,0.462415584,0.2238455379931411,74.84736111111111,4,4
2016-10-19,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,57.79272727272728,0.137226744,0.0674804752276296,0.0618863214709834,1.8942380835101724,1.1706027124944518,5748.482851562501,0.3941666666666666,0.0974809889393415,-0.3819225286710893,0.0243935250464793,-0.9455963874271428,0.3253420847119795,0,64.69608695652174,0.348244186,0.1494090417738635,75.85833333333333,4,4
2016-10-20,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,58.135,0.208290698,0.107906510037253,0.0996239045056243,1.807423837952348,1.1567681187398644,5352.629469444446,0.3558333333333333,0.0568680661812105,-0.3512597104137059,0.0354495060199179,-0.9398560579418952,0.341570769167856,0,57.79272727272728,0.137226744,0.0618863214709834,75.9826388888889,4,4
2016-10-21,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,80.99166666666666,0.443662791,0.2282960143445796,0.2146575761756292,1.818440978672527,1.136599802085258,5405.435469444444,0.3670833333333334,-0.1880541136136168,-0.3152551727793027,0.0787972185878039,-0.9338372288229252,0.3576982388331254,0,58.135,0.208290698,0.0996239045056243,74.16736111111112,4,4
2016-10-22,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,91.56227272727271,0.53205814,0.2823157978239035,0.268522097336798,1.7688928224860268,1.1201535033425205,5161.73526200378,0.3869565217391305,-0.2129434676917342,-0.3230950777772164,0.1039063767955435,-0.9275416835791964,0.3737197147904692,0,80.99166666666666,0.443662791,0.2146575761756292,72.84285024154589,4,4
