Time,month,year,Agrabad,Baira,Darus Salam,East Chandana,Farmgate,Khanpur,Khulshi,Red Crescent Office,Sopura,Uttar Bagura Road
10-03-2014,3,2014,0.330018293,0.53475,0.286364706,0.436221591,0.316933333,0.365051724,0.393609589,0.169465909,0.387957831,0.445091549
11-03-2014,3,2014,0.401852941,0.801840909,0.562057471,0.699772727,0.57245,0.528727778,0.4217,0.662113636,0.645517647,0.455116279
12-03-2014,3,2014,0.275211765,0.213107955,,0.555755682,0.043155556,0.036677778,0.296422222,0.270272727,0.492094118,0.609610465
13-03-2014,3,2014,1.519267857,,,,,,1.48315,1.3780625,,
14-03-2014,3,2014,0.360223529,0.175647727,0.591022989,0.204386364,0.452766667,0.787088889,0.263866667,0.390045455,0.555588235,0.092139535
15-03-2014,3,2014,0.306141176,0.3346875,0.18083908,0.402857955,0.226516667,0.215305556,0.296833333,0.332085227,0.503494118,0.332732558
16-03-2014,3,2014,0.361329412,0.322113636,0.407614943,0.521363636,0.408938889,0.425316667,0.38545,0.812647727,0.571905882,0.447680233
17-03-2014,3,2014,0.241347059,0.423329545,0.414568966,0.404948864,0.456411111,0.353538889,0.258305556,0.367585227,0.339882353,0.235343023
18-03-2014,3,2014,0.805476471,0.554528409,1.160051724,0.965431818,1.171472222,1.048011111,0.73065,0.660954545,0.880476471,0.828796512
19-03-2014,3,2014,0.764447059,1.021977273,0.976229885,1.245568182,0.952944444,0.798144444,0.821888889,1.150755682,0.822976471,0.813895349
20-03-2014,3,2014,1.1116,0.530710227,0.684775862,0.791403409,0.693877778,0.507811111,1.099133333,0.749357955,0.158464706,0.744610465
21-03-2014,3,2014,0.7201,0.591181818,0.939804598,1.160676136,0.939844444,1.109711111,0.771288889,0.421028409,0.952929412,1.205604651
22-03-2014,3,2014,0.536558824,0.696375,0.888632184,0.997204545,0.9579,0.300033333,0.542144444,0.422261364,0.656017647,0.631982558
23-03-2014,3,2014,0.571928571,0.905470588,0.709446667,0.671755682,0.69541954,0.527117978,0.598348315,0.496636364,0.527970588,0.968818182
24-03-2014,3,2014,0.298964706,0.238818182,,,,0.0303,0.403133333,0.184920455,,0.134093023
25-03-2014,3,2014,0.388652941,,0.326678161,1.067153409,0.427988889,0.618222222,0.387822222,1.231823864,0.979647059,
26-03-2014,3,2014,0.6451,0.978295455,,,0.010788889,0.258877778,0.74045,0.551482955,0.1844,0.070872093
27-03-2014,3,2014,0.679047059,0.792193182,0.863022989,0.918545455,0.9141,0.841816667,0.694938889,1.117414773,,0.763709302
28-03-2014,3,2014,1.063847059,0.586295455,0.604741379,0.632448864,0.8181,0.90579661,1.054233333,1.373390625,0.493947059,0.822405882
29-03-2014,3,2014,0.359488235,0.239840909,0.170471264,0.234090909,0.172394444,0.182838889,0.373388889,0.376960227,0.146829412,0.308994186
30-03-2014,3,2014,0.552652941,0.391556818,0.34837931,0.386318182,0.342544444,0.305355556,0.571422222,0.762471591,0.311964706,0.410709302
31-03-2014,3,2014,0.604311765,0.451585227,0.618143678,0.589948864,0.563983333,0.515033333,0.654044444,0.390846591,0.431682353,0.642848837
01-04-2014,4,2014,1.295941176,,0.06737931,0.825738636,0.065133333,,1.182444444,0.748210227,0.868070588,
02-04-2014,4,2014,0.801276471,0.662085227,0.791528736,0.829784091,0.873083333,0.541011111,0.816333333,0.284409091,0.516641176,0.09572093
03-04-2014,4,2014,1.359058824,1.105488636,0.887229885,0.847227273,0.864716667,0.881094444,1.378772222,1.172852273,0.9221,1.159610465
04-04-2014,4,2014,0.975082353,0.740846591,0.043517241,0.920602273,0.570122222,0.936472222,0.9716,0.007965909,,0.909912791
05-04-2014,4,2014,,0.550284091,0.826011494,0.874579545,0.88605,0.772838889,,0.599323864,0.976705882,0.782709302
06-04-2014,4,2014,0.384623529,0.574670455,1.689712644,0.758363636,2.0252,0.852822222,0.361255556,,,0.612151163
07-04-2014,4,2014,1.08592,0.611654762,,,,,1.187529412,,,
08-04-2014,4,2014,,,,,,,,0.152,,1.7995
09-04-2014,4,2014,,,,,,0.005844444,,,0.036670588,0.135534884
10-04-2014,4,2014,0.589129412,0.804295455,0.809890805,0.820142045,0.858583333,0.711011111,0.859272222,0.761806818,,0.159697674
11-04-2014,4,2014,0.262070588,0.608801136,0.43266092,0.540852273,0.484505556,0.406233333,0.298477778,0.149119318,0.407458824,0.475843023
12-04-2014,4,2014,0.702311765,0.739693182,0.789436782,1.062693182,0.74925,0.645077778,0.723261111,0.558204545,0.920535294,0.753837209
13-04-2014,4,2014,0.775535294,0.737318182,0.552390805,0.633005682,0.563438889,0.534790698,0.788555556,0.3975625,0.600864706,0.884252941
14-04-2014,4,2014,0.6477,0.6213125,0.615258621,0.621034091,0.616366667,0.583172222,0.666744444,0.582965909,0.505152941,0.632674419
15-04-2014,4,2014,0.588352941,1.031647727,1.386241379,1.478318182,1.407788889,0.581466667,0.605,1.221897727,1.240811765,0.70022093
16-04-2014,4,2014,0.895117647,0.575392045,1.211063218,1.315573864,1.221411111,0.989777778,0.913916667,0.575732955,1.040447059,0.807668605
17-04-2014,4,2014,,0.978755682,0.326563218,,0.105683333,0.118277778,,,0.900176471,0.726313953
18-04-2014,4,2014,0.536264706,0.757534091,0.670442529,0.755460227,0.658961111,0.661944444,0.611522222,0.360142045,0.619370588,0.935465116
19-04-2014,4,2014,0.845817647,0.913488636,1.310396552,,1.206462963,1.256,0.856333333,0.813295455,1.4274375,1.026064706
20-04-2014,4,2014,0.503576471,0.430227273,0.388844828,0.542852273,0.4374,0.439655556,0.547455556,0.289159091,0.525923529,0.42767284
21-04-2014,4,2014,0.593070588,0.570551136,0.446258621,0.495056818,0.456561111,0.44265,0.576255556,0.441738636,0.433782353,0.724430233
22-04-2014,4,2014,0.418717647,0.544704545,0.466931034,0.555681818,0.516005556,0.5084,0.434711111,0.26275,0.572235294,0.515337209
23-04-2014,4,2014,0.687141176,0.662142045,0.420028736,0.491625,0.477755556,0.455127778,0.661483333,0.446761364,0.435388235,0.700412791
24-04-2014,4,2014,0.488988235,1.0065,0.695551724,0.763789773,0.690144444,0.670233333,0.592111111,0.733261364,0.671329412,0.82447093
25-04-2014,4,2014,0.362305882,0.6708125,0.698873563,1.2113125,0.749138889,0.678666667,0.335266667,0.626079545,0.802905882,0.711151163
26-04-2014,4,2014,0.741235294,1.034971591,0.945454023,1.014710227,0.944938889,0.951016667,0.687388889,0.854454545,0.329023529,0.9525
27-04-2014,4,2014,0.334,0.48875,0.565373563,0.765011364,0.561033333,0.356566667,0.349672222,0.401454545,0.802247059,0.543453488
28-04-2014,4,2014,,1.166045455,,,,,,0.460840909,0.279905882,0.062069767
29-04-2014,4,2014,0.839631579,0.639318182,0.896763158,,0.999866667,,0.758380952,0.522863636,,0.896256757
30-04-2014,4,2014,0.348717647,0.255852273,0.65883908,0.610272727,0.661705556,0.474344444,0.365277778,0.590244318,0.665335294,0.671389535
01-05-2014,5,2014,0.865411765,0.781175439,0.95,,,0.9145,0.871904762,0.872266667,,0.934
02-05-2014,5,2014,0.622639535,,0.672896552,0.737068182,0.659766667,0.491755556,0.870232558,0.646,0.636347059,0.627244186
