,PM2.5,AOD,Temperature,RH,Wind Speed,Solar Rad,BP,Rain,Month,DayOfYear,Year,Season_ord,AOD_Loading_ord,Rain_Status_ord,Humidity_ord,Temp_ord,Wind_Polluted,Wind_Origin_missing,WindDir_sin,WindDir_cos,WindDir_missing,GeoZone_enc,Station_enc,Latitude,Longitude
Year,0.03355871030293245,-0.025090379778047515,-0.0786435727880682,-0.006984015065278746,0.0036467772656861366,0.12738463228777025,-0.1536403847162019,-0.030778641046192125,-0.018180205763866537,-0.018764710990174745,1.0,-0.01090538100945287,-0.021343870240944342,-0.3596780750322439,-0.013705250836994988,-0.08532971498274658,0.33635444981172813,0.5148293046088838,-0.024941081341051063,0.34460992943800567,0.5148293046088838,0.06960630872316961,0.04328722257314822,-0.007099996415939073,-0.07454973566009732
Season_ord,0.6404883491012096,0.14181562847612836,-0.5879765485357994,-0.035723883001885726,-0.001999513801992929,-0.07907542929217774,0.22776935291743758,-0.013117550376034461,-0.44291368089929717,-0.4420083075682068,-0.01090538100945287,1.0,0.13071397919471134,0.044115376058915225,-0.061195323368375285,-0.47938936052192405,0.00030264043970843504,-0.056344147655080994,-0.12013829580696328,-0.014709508995238981,-0.056344147655080994,-0.02757747074287908,-0.010394809406401027,-0.04393275565750179,-0.006214122506819874
AOD_Loading_ord,0.14035216270064843,0.8195013668641933,-0.05676972245189361,-0.010665060817861694,0.013840260976095685,0.04966437143657657,-0.01680343812212244,0.02567729748362817,-0.16243531304716594,-0.1588106893731425,-0.021343870240944342,0.13071397919471134,1.0,0.02780531287538891,-0.0010475956829291957,-0.03916675072099889,0.021051824096558588,0.03738449978346154,-0.030560621419323288,0.015405279147813356,0.03738449978346154,0.10265846961842255,0.12863585132718902,-0.05110784694750219,-0.14494660320162328
Rain_Status_ord,0.11307618134888668,0.032481952035782725,-0.0065258681102877015,-0.15229274726876468,0.272483195094128,0.07875677433788336,0.013607025497510111,0.35024052957423685,-0.041851898769293135,-0.04271486420918964,-0.3596780750322439,0.044115376058915225,0.02780531287538891,1.0,-0.14954517695387542,0.03387851516591262,-0.2494708254493601,-0.5306154406598543,0.18872152296597935,-0.2829766537515554,-0.5306154406598543,0.21972999688079484,0.14066316369499654,0.09930317971313037,0.2277180273677194
Humidity_ord,-0.12597427144221676,0.0164685421559937,-0.06350636110697118,0.8776250662032573,-0.2793061042362763,-0.3158229595526727,0.040872058563832886,-0.1345935711886385,0.10459961868665642,0.10488667708473355,-0.013705250836994988,-0.061195323368375285,-0.0010475956829291957,-0.14954517695387542,1.0,-0.013825661650691233,0.0016553965754116024,0.06355971367567365,-0.004568317808897943,0.018934598433687274,0.06355971367567365,-0.3402392798799845,-0.29439689036830785,0.0567516022695977,-0.033732092203869066
Temp_ord,-0.37877128085738965,-0.06318285938310025,0.868941095431084,-0.006123694367494678,0.036398501631923735,0.010507162966942984,-0.15996036256888096,-0.03266744342423805,0.11641976952719792,0.11462641136843196,-0.08532971498274658,-0.47938936052192405,-0.03916675072099889,0.03387851516591262,-0.013825661650691233,1.0,-0.12034766370358808,-0.08122999858437975,0.10788629402444444,-0.12375374412074848,-0.08122999858437975,0.09883894428265003,0.13323969886518075,-0.023696026242847324,0.0347600956525361
Wind_Polluted,0.017776066322866144,0.024272486853870102,-0.0943395644397437,0.0047850288034715195,0.11342479128359789,0.09033582557153283,-0.07605478772743685,0.07385063452600385,0.060235350157804936,0.06102376500040991,0.33635444981172813,0.00030264043970843504,0.021051824096558588,-0.2494708254493601,0.0016553965754116024,-0.12034766370358808,1.0,0.48002366974683336,-0.01307394147367577,0.883871227514257,0.48002366974683336,0.022254570089414172,0.021339477115240684,-0.02051077960622966,-0.2045101105262737
Wind_Origin_missing,-0.06447888034394823,0.03352822121625795,-0.01840185363060515,0.045226294624475534,-0.11165266573172318,0.09258971472223501,-0.13751788828195038,-0.0852305931542004,0.010499646982504615,0.009713104374786265,0.5148293046088838,-0.056344147655080994,0.03738449978346154,-0.5306154406598543,0.06355971367567365,-0.08122999858437975,0.48002366974683336,1.0,-0.11815799677028879,0.5294733485095434,1.0,-0.07812316388917431,-0.03713528724070876,-0.04162720032435297,-0.30905125973390823
WindDir_sin,-0.20049186008475597,-0.006214265390232675,0.1091514097666754,0.005524620157550568,0.14520876254464024,0.035627677697722425,-0.05381222490516157,0.11743658600517926,0.03798788618076109,0.036688236936974754,-0.024941081341051063,-0.12013829580696328,-0.030560621419323288,0.18872152296597935,-0.004568317808897943,0.10788629402444444,-0.01307394147367577,-0.11815799677028879,1.0,-0.019082418687200012,-0.11815799677028875,-0.05566272403224302,-0.12862577882401852,0.14427611614244096,0.23907248436299378
WindDir_cos,0.012246812923631278,0.020375856827273116,-0.09237808682097591,0.014790044588894474,0.044761470626833035,0.06492034469322114,-0.060191933154697064,0.029526776340944128,0.08355955254116915,0.08406806093667168,0.34460992943800567,-0.014709508995238981,0.015405279147813356,-0.2829766537515554,0.018934598433687274,-0.12375374412074848,0.883871227514257,0.5294733485095434,-0.019082418687200012,1.0,0.5294733485095434,0.026504909899911177,0.022013755737032775,-0.02195535734257569,-0.22515510926228371
WindDir_missing,-0.06447888034394823,0.03352822121625795,-0.01840185363060515,0.045226294624475534,-0.11165266573172318,0.09258971472223501,-0.13751788828195038,-0.0852305931542004,0.010499646982504615,0.009713104374786265,0.5148293046088838,-0.056344147655080994,0.03738449978346154,-0.5306154406598543,0.06355971367567365,-0.08122999858437975,0.48002366974683336,1.0,-0.11815799677028875,0.5294733485095434,1.0,-0.07812316388917431,-0.03713528724070876,-0.04162720032435297,-0.30905125973390823
GeoZone_enc,0.2983751416812158,0.0996976455550749,0.1307176393165742,-0.30258508494824043,0.2999708723458973,0.15732663484559906,-0.28118217780047455,0.10481086918402804,-0.008341843082573953,-0.008251455057723402,0.06960630872316961,-0.02757747074287908,0.10265846961842255,0.21972999688079484,-0.3402392798799845,0.09883894428265003,0.022254570089414172,-0.07812316388917431,-0.05566272403224302,0.026504909899911177,-0.07812316388917431,1.0,0.9082315778208273,0.0010804309146522013,-0.010462127319870784
Station_enc,0.3285232591307643,0.1190249688995018,0.17601860464685898,-0.26123343933104615,0.2838097940634428,0.0772196327200018,-0.31992521740499,0.08357004801243893,-0.0252609155651603,-0.025127343564748342,0.04328722257314822,-0.010394809406401027,0.12863585132718902,0.14066316369499654,-0.29439689036830785,0.13323969886518075,0.021339477115240684,-0.03713528724070876,-0.12862577882401852,0.022013755737032775,-0.03713528724070876,0.9082315778208273,1.0,-0.03778934657199756,-0.26881396362559096
Latitude,-0.012414319691253756,-0.02688968855404846,-0.013817698570134472,0.08789286099405746,0.06526220684390345,-0.11214886160001314,-0.1071280734462261,0.022737848892841153,0.05094941503008922,0.0515329309565355,-0.007099996415939073,-0.04393275565750179,-0.05110784694750219,0.09930317971313037,0.0567516022695977,-0.023696026242847324,-0.02051077960622966,-0.04162720032435297,0.14427611614244096,-0.02195535734257569,-0.04162720032435297,0.0010804309146522013,-0.03778934657199756,1.0,-0.21962111672773105
Longitude,-0.08831172106861745,-0.138276818171963,-0.0031175278267916223,0.00045932950018487363,0.05421406340510575,-0.052480410362482126,0.09475180994100675,-0.0376356058399352,0.020056426845660436,0.019763169448991032,-0.07454973566009732,-0.006214122506819874,-0.14494660320162328,0.2277180273677194,-0.033732092203869066,0.0347600956525361,-0.2045101105262737,-0.30905125973390823,0.23907248436299378,-0.22515510926228371,-0.30905125973390823,-0.010462127319870784,-0.26881396362559096,-0.21962111672773105,1.0
