Condition,N,Spearman_rho,Spearman_p,RF_R2_AOD_only,RMSE,nRMSE,Mean_PM25,Proxy_Quality,Significant_Spearman
Wind_Origin=Continental (Polluted) & AOD_Loading=Moderate AOD (0.3-0.8),514,0.0708,0.10904,0.0,61.68,0.5946,103.75,Poor,No
Wind_Origin=Continental (Polluted) & AOD_Loading=Low AOD (<0.3),207,0.1531,0.027663,0.0,49.99,0.6352,78.7,Poor,Yes
Wind_Origin=Continental (Polluted) & AOD_Loading=High AOD (>0.8),370,0.1152,0.026735,0.0,61.21,0.5157,118.68,Poor,Yes
Wind_Origin=Marine (Clean) & Rain_Status=No Rain,1276,0.0946,0.000712,0.0,51.65,0.5836,88.49,Poor,Yes
Wind_Origin=Marine (Clean) & Rain_Status=Light Rain,2543,0.142,0.0,0.0,59.36,0.6323,93.88,Poor,Yes
Wind_Origin=Marine (Clean) & Rain_Status=Heavy Rain,824,0.1165,0.000806,0.0,75.87,0.6779,111.92,Poor,Yes
Wind_Origin=Continental (Polluted) & Rain_Status=No Rain,373,0.1152,0.026118,0.0,54.79,0.4607,118.92,Poor,Yes
Wind_Origin=Continental (Polluted) & Rain_Status=Light Rain,435,0.235,1e-06,0.0,57.23,0.6289,90.99,Poor,Yes
Wind_Origin=Continental (Polluted) & Rain_Status=Heavy Rain,283,0.1633,0.005891,0.0,64.87,0.5333,121.65,Poor,Yes
Wind_Origin=Marine (Clean) & Humidity_Profile=Moderate (50-75%),2677,0.1407,0.0,0.0,55.88,0.5617,99.49,Poor,Yes
Temp_Profile=Cool (<20°C) & Rain_Status=Heavy Rain,67,0.1847,0.134674,0.0,170.08,1.0846,156.81,Poor,No
Humidity_Profile=Moderate (50-75%) & AOD_Loading=Moderate AOD (0.3-0.8),1723,0.0146,0.54479,0.0,56.01,0.5319,105.3,Poor,No
Humidity_Profile=Moderate (50-75%) & AOD_Loading=Low AOD (<0.3),655,0.0872,0.02562,0.0,50.52,0.5582,90.5,Poor,Yes
Humidity_Profile=Moderate (50-75%) & AOD_Loading=High AOD (>0.8),1185,0.1425,1e-06,0.0,61.2,0.5384,113.67,Poor,Yes
Humidity_Profile=Humid (>75%) & AOD_Loading=Moderate AOD (0.3-0.8),1279,0.0274,0.327017,0.0,54.07,0.7265,74.43,Poor,No
Humidity_Profile=Humid (>75%) & AOD_Loading=Low AOD (<0.3),412,0.0375,0.44805,0.0,46.23,0.667,69.31,Poor,No
Humidity_Profile=Humid (>75%) & AOD_Loading=High AOD (>0.8),860,0.1549,5e-06,0.0,57.3,0.6423,89.2,Poor,Yes
Humidity_Profile=Dry (<50%) & AOD_Loading=Moderate AOD (0.3-0.8),387,0.0546,0.283981,0.0,52.6,0.4386,119.92,Poor,No
Humidity_Profile=Dry (<50%) & AOD_Loading=Low AOD (<0.3),106,0.2583,0.007511,0.0,44.52,0.4438,100.32,Poor,Yes
Humidity_Profile=Dry (<50%) & AOD_Loading=High AOD (>0.8),245,0.1856,0.00355,0.0,76.92,0.5504,139.76,Poor,Yes
Humidity_Profile=Moderate (50-75%) & Rain_Status=No Rain,947,0.1015,0.001769,0.0,49.26,0.4654,105.85,Poor,Yes
Humidity_Profile=Moderate (50-75%) & Rain_Status=Light Rain,2027,0.1945,0.0,0.0,52.61,0.5637,93.33,Poor,Yes
Humidity_Profile=Moderate (50-75%) & Rain_Status=Heavy Rain,589,0.1247,0.002437,0.0,82.27,0.7359,111.8,Poor,Yes
Humidity_Profile=Humid (>75%) & Rain_Status=No Rain,1264,0.1338,2e-06,0.0,49.11,0.6164,79.67,Poor,Yes
Humidity_Profile=Humid (>75%) & Rain_Status=Light Rain,1000,0.1821,0.0,0.0,57.28,0.723,79.23,Poor,Yes
Humidity_Profile=Humid (>75%) & Rain_Status=Heavy Rain,287,0.1931,0.001008,0.0,54.66,0.7716,70.84,Poor,Yes
Geo_Zone=Inland_SemiUrban & Season=Winter,950,0.2593,0.0,0.0,39.35,0.3641,108.07,Poor,Yes
